Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/7726_05月17日_08时17分09秒.log
Config(version='For Mosi 7992', log_dir='../record', dropout_rate=0.7, batch_size=30, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 1, Train Loss: 0.6347, Test Loss: 0.7210, Test Accuracy: 42.42%, Best Test Accuracy: 42.42%
Epoch 2, Train Loss: 0.5696, Test Loss: 0.7192, Test Accuracy: 40.96%, Best Test Accuracy: 42.42%
Epoch 3, Train Loss: 0.4853, Test Loss: 0.7212, Test Accuracy: 41.76%, Best Test Accuracy: 42.42%
Epoch 4, Train Loss: 0.4732, Test Loss: 0.7153, Test Accuracy: 50.66%, Best Test Accuracy: 50.66%
Epoch 5, Train Loss: 0.4065, Test Loss: 0.7067, Test Accuracy: 60.97%, Best Test Accuracy: 60.97%
Epoch 6, Train Loss: 0.3655, Test Loss: 0.6963, Test Accuracy: 65.29%, Best Test Accuracy: 65.29%
Epoch 7, Train Loss: 0.3399, Test Loss: 0.6847, Test Accuracy: 68.35%, Best Test Accuracy: 68.35%
Epoch 8, Train Loss: 0.2904, Test Loss: 0.6696, Test Accuracy: 69.75%, Best Test Accuracy: 69.75%
Epoch 9, Train Loss: 0.2594, Test Loss: 0.6581, Test Accuracy: 71.08%, Best Test Accuracy: 71.08%
Epoch 10, Train Loss: 0.2224, Test Loss: 0.6538, Test Accuracy: 71.88%, Best Test Accuracy: 71.88%
Epoch 11, Train Loss: 0.1930, Test Loss: 0.6434, Test Accuracy: 72.34%, Best Test Accuracy: 72.34%
Epoch 12, Train Loss: 0.2134, Test Loss: 0.6380, Test Accuracy: 72.87%, Best Test Accuracy: 72.87%
Epoch 13, Train Loss: 0.1841, Test Loss: 0.6321, Test Accuracy: 73.60%, Best Test Accuracy: 73.60%
Epoch 14, Train Loss: 0.1998, Test Loss: 0.6338, Test Accuracy: 73.40%, Best Test Accuracy: 73.60%
Epoch 15, Train Loss: 0.1666, Test Loss: 0.6341, Test Accuracy: 73.47%, Best Test Accuracy: 73.60%
Epoch 16, Train Loss: 0.1644, Test Loss: 0.6382, Test Accuracy: 73.40%, Best Test Accuracy: 73.60%
