Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/console_output_2024年05月14日_23时48分05秒.log
Config(log_dir='../record', dropout_rate=0.7, batch_size=62, shuffle=True, learning_rate=0.001, epochs=100, random_seed=42)
Data loaded and processed.
Epoch 1, Train Loss: 0.6965, Test Loss: 0.7087, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 2, Train Loss: 0.5284, Test Loss: 0.7995, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 3, Train Loss: 0.3622, Test Loss: 0.8192, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 4, Train Loss: 0.2515, Test Loss: 0.7267, Test Accuracy: 71.21%, Best Test Accuracy: 71.21%
Epoch 5, Train Loss: 0.1744, Test Loss: 0.7005, Test Accuracy: 76.00%, Best Test Accuracy: 76.00%
Epoch 6, Train Loss: 0.1323, Test Loss: 0.6937, Test Accuracy: 76.00%, Best Test Accuracy: 76.00%
Epoch 7, Train Loss: 0.1028, Test Loss: 0.6861, Test Accuracy: 76.26%, Best Test Accuracy: 76.26%
Epoch 8, Train Loss: 0.0714, Test Loss: 0.6863, Test Accuracy: 77.86%, Best Test Accuracy: 77.86%
Epoch 9, Train Loss: 0.0424, Test Loss: 0.7363, Test Accuracy: 78.66%, Best Test Accuracy: 78.66%
Epoch 10, Train Loss: 0.0430, Test Loss: 0.8519, Test Accuracy: 77.79%, Best Test Accuracy: 78.66%
Epoch 11, Train Loss: 0.0372, Test Loss: 0.9587, Test Accuracy: 77.19%, Best Test Accuracy: 78.66%
Epoch 12, Train Loss: 0.0400, Test Loss: 0.9902, Test Accuracy: 77.13%, Best Test Accuracy: 78.66%
Epoch 13, Train Loss: 0.0435, Test Loss: 0.9725, Test Accuracy: 77.33%, Best Test Accuracy: 78.66%
Epoch 14, Train Loss: 0.0382, Test Loss: 0.9551, Test Accuracy: 75.93%, Best Test Accuracy: 78.66%
Epoch 15, Train Loss: 0.0334, Test Loss: 0.9361, Test Accuracy: 76.00%, Best Test Accuracy: 78.66%
Epoch 16, Train Loss: 0.0361, Test Loss: 0.9123, Test Accuracy: 76.40%, Best Test Accuracy: 78.66%
Epoch 17, Train Loss: 0.0277, Test Loss: 0.8905, Test Accuracy: 76.60%, Best Test Accuracy: 78.66%
Epoch 18, Train Loss: 0.0287, Test Loss: 0.8330, Test Accuracy: 76.53%, Best Test Accuracy: 78.66%
Epoch 19, Train Loss: 0.0285, Test Loss: 0.7768, Test Accuracy: 75.93%, Best Test Accuracy: 78.66%
Epoch 20, Train Loss: 0.0240, Test Loss: 0.7352, Test Accuracy: 75.93%, Best Test Accuracy: 78.66%
Epoch 21, Train Loss: 0.0203, Test Loss: 0.7183, Test Accuracy: 76.00%, Best Test Accuracy: 78.66%
Epoch 22, Train Loss: 0.0217, Test Loss: 0.7238, Test Accuracy: 77.26%, Best Test Accuracy: 78.66%
Epoch 23, Train Loss: 0.0191, Test Loss: 0.7294, Test Accuracy: 76.99%, Best Test Accuracy: 78.66%
Epoch 24, Train Loss: 0.0208, Test Loss: 0.7177, Test Accuracy: 77.06%, Best Test Accuracy: 78.66%
Epoch 25, Train Loss: 0.0169, Test Loss: 0.7031, Test Accuracy: 77.26%, Best Test Accuracy: 78.66%
Epoch 26, Train Loss: 0.0163, Test Loss: 0.7039, Test Accuracy: 76.60%, Best Test Accuracy: 78.66%
Epoch 27, Train Loss: 0.0178, Test Loss: 0.7142, Test Accuracy: 76.33%, Best Test Accuracy: 78.66%
Epoch 28, Train Loss: 0.0154, Test Loss: 0.7330, Test Accuracy: 77.59%, Best Test Accuracy: 78.66%
Epoch 29, Train Loss: 0.0132, Test Loss: 0.7506, Test Accuracy: 77.93%, Best Test Accuracy: 78.66%
Epoch 30, Train Loss: 0.0150, Test Loss: 0.7433, Test Accuracy: 77.93%, Best Test Accuracy: 78.66%
Epoch 31, Train Loss: 0.0111, Test Loss: 0.7288, Test Accuracy: 77.59%, Best Test Accuracy: 78.66%
Epoch 32, Train Loss: 0.0104, Test Loss: 0.7166, Test Accuracy: 77.33%, Best Test Accuracy: 78.66%
Epoch 33, Train Loss: 0.0105, Test Loss: 0.7075, Test Accuracy: 77.26%, Best Test Accuracy: 78.66%
Epoch 34, Train Loss: 0.0111, Test Loss: 0.7032, Test Accuracy: 77.99%, Best Test Accuracy: 78.66%
Epoch 35, Train Loss: 0.0072, Test Loss: 0.7213, Test Accuracy: 77.99%, Best Test Accuracy: 78.66%
Epoch 36, Train Loss: 0.0075, Test Loss: 0.7290, Test Accuracy: 77.86%, Best Test Accuracy: 78.66%
Epoch 37, Train Loss: 0.0088, Test Loss: 0.7214, Test Accuracy: 77.46%, Best Test Accuracy: 78.66%
Epoch 38, Train Loss: 0.0062, Test Loss: 0.7219, Test Accuracy: 76.66%, Best Test Accuracy: 78.66%
Epoch 39, Train Loss: 0.0047, Test Loss: 0.7359, Test Accuracy: 76.26%, Best Test Accuracy: 78.66%
Epoch 40, Train Loss: 0.0059, Test Loss: 0.7561, Test Accuracy: 75.66%, Best Test Accuracy: 78.66%
Epoch 41, Train Loss: 0.0059, Test Loss: 0.7534, Test Accuracy: 75.93%, Best Test Accuracy: 78.66%
Epoch 42, Train Loss: 0.0045, Test Loss: 0.7809, Test Accuracy: 75.33%, Best Test Accuracy: 78.66%
Epoch 43, Train Loss: 0.0043, Test Loss: 0.8072, Test Accuracy: 75.47%, Best Test Accuracy: 78.66%
Epoch 44, Train Loss: 0.0039, Test Loss: 0.8095, Test Accuracy: 75.93%, Best Test Accuracy: 78.66%
Epoch 45, Train Loss: 0.0035, Test Loss: 0.8086, Test Accuracy: 75.47%, Best Test Accuracy: 78.66%
Epoch 46, Train Loss: 0.0032, Test Loss: 0.8312, Test Accuracy: 75.80%, Best Test Accuracy: 78.66%
Epoch 47, Train Loss: 0.0028, Test Loss: 0.8819, Test Accuracy: 74.73%, Best Test Accuracy: 78.66%
Epoch 48, Train Loss: 0.0019, Test Loss: 0.9301, Test Accuracy: 74.00%, Best Test Accuracy: 78.66%
Epoch 49, Train Loss: 0.0026, Test Loss: 0.9706, Test Accuracy: 73.80%, Best Test Accuracy: 78.66%
Epoch 50, Train Loss: 0.0020, Test Loss: 0.9524, Test Accuracy: 74.20%, Best Test Accuracy: 78.66%
Epoch 51, Train Loss: 0.0013, Test Loss: 0.9158, Test Accuracy: 74.60%, Best Test Accuracy: 78.66%
Epoch 52, Train Loss: 0.0015, Test Loss: 0.9158, Test Accuracy: 74.53%, Best Test Accuracy: 78.66%
Epoch 53, Train Loss: 0.0012, Test Loss: 0.9356, Test Accuracy: 74.93%, Best Test Accuracy: 78.66%
Epoch 54, Train Loss: 0.0010, Test Loss: 0.9750, Test Accuracy: 74.40%, Best Test Accuracy: 78.66%
Epoch 55, Train Loss: 0.0006, Test Loss: 1.0179, Test Accuracy: 73.34%, Best Test Accuracy: 78.66%
Epoch 56, Train Loss: 0.0019, Test Loss: 0.9857, Test Accuracy: 73.34%, Best Test Accuracy: 78.66%
Epoch 57, Train Loss: 0.0003, Test Loss: 0.9731, Test Accuracy: 72.94%, Best Test Accuracy: 78.66%
Epoch 58, Train Loss: 0.0007, Test Loss: 0.9789, Test Accuracy: 73.67%, Best Test Accuracy: 78.66%
Epoch 59, Train Loss: 0.0005, Test Loss: 0.9975, Test Accuracy: 73.60%, Best Test Accuracy: 78.66%
