Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/console_output_2024年05月15日_00时20分28秒.log
Config(log_dir='../record', dropout_rate=0.7, batch_size=62, shuffle=True, learning_rate=0.001, epochs=100, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 1, Train Loss: 0.7187, Test Loss: 0.7087, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 2, Train Loss: 0.5505, Test Loss: 0.7994, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 3, Train Loss: 0.3840, Test Loss: 0.8195, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 4, Train Loss: 0.2733, Test Loss: 0.7269, Test Accuracy: 71.14%, Best Test Accuracy: 71.14%
Epoch 5, Train Loss: 0.1959, Test Loss: 0.7006, Test Accuracy: 76.00%, Best Test Accuracy: 76.00%
Epoch 6, Train Loss: 0.1537, Test Loss: 0.6936, Test Accuracy: 76.00%, Best Test Accuracy: 76.00%
Epoch 7, Train Loss: 0.1240, Test Loss: 0.6860, Test Accuracy: 76.26%, Best Test Accuracy: 76.26%
Epoch 8, Train Loss: 0.0925, Test Loss: 0.6863, Test Accuracy: 77.86%, Best Test Accuracy: 77.86%
Epoch 9, Train Loss: 0.0633, Test Loss: 0.7361, Test Accuracy: 78.66%, Best Test Accuracy: 78.66%
Epoch 10, Train Loss: 0.0638, Test Loss: 0.8514, Test Accuracy: 77.86%, Best Test Accuracy: 78.66%
Epoch 11, Train Loss: 0.0579, Test Loss: 0.9595, Test Accuracy: 77.13%, Best Test Accuracy: 78.66%
Epoch 12, Train Loss: 0.0606, Test Loss: 0.9891, Test Accuracy: 77.13%, Best Test Accuracy: 78.66%
Epoch 13, Train Loss: 0.0637, Test Loss: 0.9721, Test Accuracy: 77.26%, Best Test Accuracy: 78.66%
Epoch 14, Train Loss: 0.0583, Test Loss: 0.9595, Test Accuracy: 76.06%, Best Test Accuracy: 78.66%
Epoch 15, Train Loss: 0.0540, Test Loss: 0.9429, Test Accuracy: 76.00%, Best Test Accuracy: 78.66%
Epoch 16, Train Loss: 0.0561, Test Loss: 0.9208, Test Accuracy: 76.46%, Best Test Accuracy: 78.66%
Epoch 17, Train Loss: 0.0478, Test Loss: 0.8974, Test Accuracy: 76.53%, Best Test Accuracy: 78.66%
Epoch 18, Train Loss: 0.0486, Test Loss: 0.8410, Test Accuracy: 76.40%, Best Test Accuracy: 78.66%
Epoch 19, Train Loss: 0.0483, Test Loss: 0.7822, Test Accuracy: 75.73%, Best Test Accuracy: 78.66%
Epoch 20, Train Loss: 0.0434, Test Loss: 0.7382, Test Accuracy: 75.80%, Best Test Accuracy: 78.66%
Epoch 21, Train Loss: 0.0395, Test Loss: 0.7192, Test Accuracy: 75.80%, Best Test Accuracy: 78.66%
Epoch 22, Train Loss: 0.0412, Test Loss: 0.7231, Test Accuracy: 77.33%, Best Test Accuracy: 78.66%
Epoch 23, Train Loss: 0.0380, Test Loss: 0.7316, Test Accuracy: 77.06%, Best Test Accuracy: 78.66%
Epoch 24, Train Loss: 0.0399, Test Loss: 0.7225, Test Accuracy: 77.06%, Best Test Accuracy: 78.66%
Epoch 25, Train Loss: 0.0359, Test Loss: 0.7061, Test Accuracy: 77.46%, Best Test Accuracy: 78.66%
Epoch 26, Train Loss: 0.0352, Test Loss: 0.7026, Test Accuracy: 76.46%, Best Test Accuracy: 78.66%
Epoch 27, Train Loss: 0.0364, Test Loss: 0.7108, Test Accuracy: 76.60%, Best Test Accuracy: 78.66%
Epoch 28, Train Loss: 0.0344, Test Loss: 0.7274, Test Accuracy: 77.33%, Best Test Accuracy: 78.66%
Epoch 29, Train Loss: 0.0316, Test Loss: 0.7467, Test Accuracy: 77.99%, Best Test Accuracy: 78.66%
Epoch 30, Train Loss: 0.0333, Test Loss: 0.7465, Test Accuracy: 77.93%, Best Test Accuracy: 78.66%
Epoch 31, Train Loss: 0.0295, Test Loss: 0.7345, Test Accuracy: 77.79%, Best Test Accuracy: 78.66%
Epoch 32, Train Loss: 0.0288, Test Loss: 0.7199, Test Accuracy: 77.26%, Best Test Accuracy: 78.66%
Epoch 33, Train Loss: 0.0284, Test Loss: 0.7100, Test Accuracy: 76.86%, Best Test Accuracy: 78.66%
Epoch 34, Train Loss: 0.0294, Test Loss: 0.6989, Test Accuracy: 77.46%, Best Test Accuracy: 78.66%
Epoch 35, Train Loss: 0.0253, Test Loss: 0.7069, Test Accuracy: 78.92%, Best Test Accuracy: 78.92%
