Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/console_output_2024年05月15日_00时37分48秒.log
Config(log_dir='../record', dropout_rate=0.7, batch_size=30, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 1, Train Loss: 0.6992, Test Loss: 0.7010, Test Accuracy: 55.98%, Best Test Accuracy: 55.98%
Epoch 2, Train Loss: 0.6630, Test Loss: 0.7037, Test Accuracy: 55.59%, Best Test Accuracy: 55.98%
Epoch 3, Train Loss: 0.6319, Test Loss: 0.7079, Test Accuracy: 48.60%, Best Test Accuracy: 55.98%
Epoch 4, Train Loss: 0.6083, Test Loss: 0.7122, Test Accuracy: 39.69%, Best Test Accuracy: 55.98%
Epoch 5, Train Loss: 0.5954, Test Loss: 0.7143, Test Accuracy: 39.03%, Best Test Accuracy: 55.98%
Epoch 6, Train Loss: 0.5536, Test Loss: 0.7193, Test Accuracy: 38.30%, Best Test Accuracy: 55.98%
Epoch 7, Train Loss: 0.5363, Test Loss: 0.7238, Test Accuracy: 37.97%, Best Test Accuracy: 55.98%
Epoch 8, Train Loss: 0.4997, Test Loss: 0.7293, Test Accuracy: 37.97%, Best Test Accuracy: 55.98%
Epoch 9, Train Loss: 0.4850, Test Loss: 0.7347, Test Accuracy: 37.90%, Best Test Accuracy: 55.98%
Epoch 10, Train Loss: 0.4477, Test Loss: 0.7424, Test Accuracy: 37.90%, Best Test Accuracy: 55.98%
Epoch 11, Train Loss: 0.4702, Test Loss: 0.7409, Test Accuracy: 37.97%, Best Test Accuracy: 55.98%
Epoch 12, Train Loss: 0.4143, Test Loss: 0.7485, Test Accuracy: 37.97%, Best Test Accuracy: 55.98%
Epoch 13, Train Loss: 0.4076, Test Loss: 0.7514, Test Accuracy: 37.97%, Best Test Accuracy: 55.98%
Epoch 14, Train Loss: 0.3917, Test Loss: 0.7549, Test Accuracy: 38.03%, Best Test Accuracy: 55.98%
Epoch 15, Train Loss: 0.3617, Test Loss: 0.7600, Test Accuracy: 38.03%, Best Test Accuracy: 55.98%
Epoch 16, Train Loss: 0.3501, Test Loss: 0.7626, Test Accuracy: 38.30%, Best Test Accuracy: 55.98%
Epoch 17, Train Loss: 0.3510, Test Loss: 0.7612, Test Accuracy: 38.90%, Best Test Accuracy: 55.98%
Epoch 18, Train Loss: 0.3465, Test Loss: 0.7593, Test Accuracy: 40.49%, Best Test Accuracy: 55.98%
Epoch 19, Train Loss: 0.3136, Test Loss: 0.7617, Test Accuracy: 41.22%, Best Test Accuracy: 55.98%
Epoch 20, Train Loss: 0.3084, Test Loss: 0.7654, Test Accuracy: 41.76%, Best Test Accuracy: 55.98%
Epoch 21, Train Loss: 0.2873, Test Loss: 0.7667, Test Accuracy: 43.22%, Best Test Accuracy: 55.98%
Epoch 22, Train Loss: 0.2776, Test Loss: 0.7672, Test Accuracy: 45.15%, Best Test Accuracy: 55.98%
Epoch 23, Train Loss: 0.2800, Test Loss: 0.7638, Test Accuracy: 48.80%, Best Test Accuracy: 55.98%
Epoch 24, Train Loss: 0.2653, Test Loss: 0.7641, Test Accuracy: 50.60%, Best Test Accuracy: 55.98%
Epoch 25, Train Loss: 0.2759, Test Loss: 0.7593, Test Accuracy: 54.45%, Best Test Accuracy: 55.98%
Epoch 26, Train Loss: 0.2776, Test Loss: 0.7545, Test Accuracy: 57.78%, Best Test Accuracy: 57.78%
Epoch 27, Train Loss: 0.2604, Test Loss: 0.7536, Test Accuracy: 59.18%, Best Test Accuracy: 59.18%
Epoch 28, Train Loss: 0.2605, Test Loss: 0.7510, Test Accuracy: 60.84%, Best Test Accuracy: 60.84%
Epoch 29, Train Loss: 0.2302, Test Loss: 0.7532, Test Accuracy: 61.17%, Best Test Accuracy: 61.17%
Epoch 30, Train Loss: 0.2459, Test Loss: 0.7514, Test Accuracy: 62.37%, Best Test Accuracy: 62.37%
Epoch 31, Train Loss: 0.2470, Test Loss: 0.7470, Test Accuracy: 63.36%, Best Test Accuracy: 63.36%
Epoch 32, Train Loss: 0.2500, Test Loss: 0.7442, Test Accuracy: 64.30%, Best Test Accuracy: 64.30%
Epoch 33, Train Loss: 0.1958, Test Loss: 0.7472, Test Accuracy: 64.36%, Best Test Accuracy: 64.36%
Epoch 34, Train Loss: 0.2047, Test Loss: 0.7462, Test Accuracy: 64.49%, Best Test Accuracy: 64.49%
Epoch 35, Train Loss: 0.2047, Test Loss: 0.7459, Test Accuracy: 65.23%, Best Test Accuracy: 65.23%
Epoch 36, Train Loss: 0.2131, Test Loss: 0.7420, Test Accuracy: 65.82%, Best Test Accuracy: 65.82%
Epoch 37, Train Loss: 0.2044, Test Loss: 0.7410, Test Accuracy: 66.02%, Best Test Accuracy: 66.02%
Epoch 38, Train Loss: 0.2143, Test Loss: 0.7353, Test Accuracy: 67.49%, Best Test Accuracy: 67.49%
Epoch 39, Train Loss: 0.2026, Test Loss: 0.7351, Test Accuracy: 67.69%, Best Test Accuracy: 67.69%
Epoch 40, Train Loss: 0.1799, Test Loss: 0.7357, Test Accuracy: 67.82%, Best Test Accuracy: 67.82%
Epoch 41, Train Loss: 0.1891, Test Loss: 0.7326, Test Accuracy: 68.02%, Best Test Accuracy: 68.02%
Epoch 42, Train Loss: 0.1764, Test Loss: 0.7327, Test Accuracy: 68.35%, Best Test Accuracy: 68.35%
Epoch 43, Train Loss: 0.1727, Test Loss: 0.7332, Test Accuracy: 68.55%, Best Test Accuracy: 68.55%
Epoch 44, Train Loss: 0.1674, Test Loss: 0.7336, Test Accuracy: 68.62%, Best Test Accuracy: 68.62%
Epoch 45, Train Loss: 0.1729, Test Loss: 0.7327, Test Accuracy: 69.08%, Best Test Accuracy: 69.08%
Epoch 46, Train Loss: 0.1439, Test Loss: 0.7334, Test Accuracy: 69.28%, Best Test Accuracy: 69.28%
Epoch 47, Train Loss: 0.1827, Test Loss: 0.7287, Test Accuracy: 69.75%, Best Test Accuracy: 69.75%
Epoch 48, Train Loss: 0.1478, Test Loss: 0.7285, Test Accuracy: 69.75%, Best Test Accuracy: 69.75%
Epoch 49, Train Loss: 0.1582, Test Loss: 0.7284, Test Accuracy: 69.95%, Best Test Accuracy: 69.95%
Epoch 50, Train Loss: 0.1533, Test Loss: 0.7272, Test Accuracy: 70.35%, Best Test Accuracy: 70.35%
