Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/console_output_05月15日_04时50分03秒.log
Config(log_dir='../record', dropout_rate=0.7, batch_size=4, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 1, Train Loss: 0.6434, Test Loss: 0.7046, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 2, Train Loss: 0.5485, Test Loss: 0.7198, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 3, Train Loss: 0.4607, Test Loss: 0.7382, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 4, Train Loss: 0.3988, Test Loss: 0.7432, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 5, Train Loss: 0.3438, Test Loss: 0.7494, Test Accuracy: 37.90%, Best Test Accuracy: 37.90%
Epoch 6, Train Loss: 0.3113, Test Loss: 0.7450, Test Accuracy: 39.23%, Best Test Accuracy: 39.23%
Epoch 7, Train Loss: 0.2808, Test Loss: 0.7412, Test Accuracy: 43.35%, Best Test Accuracy: 43.35%
Epoch 8, Train Loss: 0.2553, Test Loss: 0.7386, Test Accuracy: 50.80%, Best Test Accuracy: 50.80%
Epoch 9, Train Loss: 0.2371, Test Loss: 0.7364, Test Accuracy: 57.11%, Best Test Accuracy: 57.11%
Epoch 10, Train Loss: 0.2217, Test Loss: 0.7346, Test Accuracy: 60.11%, Best Test Accuracy: 60.11%
Epoch 11, Train Loss: 0.2142, Test Loss: 0.7308, Test Accuracy: 62.90%, Best Test Accuracy: 62.90%
Epoch 12, Train Loss: 0.1986, Test Loss: 0.7280, Test Accuracy: 64.76%, Best Test Accuracy: 64.76%
Epoch 13, Train Loss: 0.1897, Test Loss: 0.7239, Test Accuracy: 66.09%, Best Test Accuracy: 66.09%
Epoch 14, Train Loss: 0.1838, Test Loss: 0.7238, Test Accuracy: 67.15%, Best Test Accuracy: 67.15%
Epoch 15, Train Loss: 0.1771, Test Loss: 0.7226, Test Accuracy: 68.42%, Best Test Accuracy: 68.42%
Epoch 16, Train Loss: 0.1679, Test Loss: 0.7189, Test Accuracy: 69.48%, Best Test Accuracy: 69.48%
Epoch 17, Train Loss: 0.1603, Test Loss: 0.7179, Test Accuracy: 70.01%, Best Test Accuracy: 70.01%
Epoch 18, Train Loss: 0.1541, Test Loss: 0.7158, Test Accuracy: 70.74%, Best Test Accuracy: 70.74%
Epoch 19, Train Loss: 0.1494, Test Loss: 0.7119, Test Accuracy: 71.74%, Best Test Accuracy: 71.74%
Epoch 20, Train Loss: 0.1419, Test Loss: 0.7084, Test Accuracy: 72.27%, Best Test Accuracy: 72.27%
Epoch 21, Train Loss: 0.1366, Test Loss: 0.7055, Test Accuracy: 72.94%, Best Test Accuracy: 72.94%
Epoch 22, Train Loss: 0.1274, Test Loss: 0.7054, Test Accuracy: 73.47%, Best Test Accuracy: 73.47%
Epoch 23, Train Loss: 0.1248, Test Loss: 0.7009, Test Accuracy: 74.20%, Best Test Accuracy: 74.20%
Epoch 24, Train Loss: 0.1197, Test Loss: 0.6996, Test Accuracy: 74.60%, Best Test Accuracy: 74.60%
Epoch 25, Train Loss: 0.1129, Test Loss: 0.6993, Test Accuracy: 74.87%, Best Test Accuracy: 74.87%
Epoch 26, Train Loss: 0.1095, Test Loss: 0.6942, Test Accuracy: 75.33%, Best Test Accuracy: 75.33%
Epoch 27, Train Loss: 0.1049, Test Loss: 0.6937, Test Accuracy: 75.60%, Best Test Accuracy: 75.60%
Epoch 28, Train Loss: 0.1016, Test Loss: 0.6892, Test Accuracy: 75.93%, Best Test Accuracy: 75.93%
Epoch 29, Train Loss: 0.0947, Test Loss: 0.6934, Test Accuracy: 75.93%, Best Test Accuracy: 75.93%
Epoch 30, Train Loss: 0.0902, Test Loss: 0.6939, Test Accuracy: 75.93%, Best Test Accuracy: 75.93%
Epoch 31, Train Loss: 0.0884, Test Loss: 0.6950, Test Accuracy: 76.06%, Best Test Accuracy: 76.06%
Epoch 32, Train Loss: 0.0860, Test Loss: 0.6967, Test Accuracy: 76.00%, Best Test Accuracy: 76.06%
