Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/7992对比7726_05月17日_08时24分57秒.log
Config(version='For Mosi 7992', log_dir='../record', dropout_rate=0.7, batch_size=30, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 1, Train Loss: 0.6783, Test Loss: 0.7037, Test Accuracy: 48.47%, Best Test Accuracy: 48.47%
Epoch 2, Train Loss: 0.6606, Test Loss: 0.7064, Test Accuracy: 39.63%, Best Test Accuracy: 48.47%
Epoch 3, Train Loss: 0.6333, Test Loss: 0.7107, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 4, Train Loss: 0.6278, Test Loss: 0.7137, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 5, Train Loss: 0.5978, Test Loss: 0.7183, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 6, Train Loss: 0.5816, Test Loss: 0.7225, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 7, Train Loss: 0.5644, Test Loss: 0.7269, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 8, Train Loss: 0.5403, Test Loss: 0.7323, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 9, Train Loss: 0.5263, Test Loss: 0.7379, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 10, Train Loss: 0.4953, Test Loss: 0.7450, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 11, Train Loss: 0.5142, Test Loss: 0.7460, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 12, Train Loss: 0.4541, Test Loss: 0.7550, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 13, Train Loss: 0.4305, Test Loss: 0.7632, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 14, Train Loss: 0.4375, Test Loss: 0.7695, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 15, Train Loss: 0.4223, Test Loss: 0.7741, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 16, Train Loss: 0.3862, Test Loss: 0.7817, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 17, Train Loss: 0.3856, Test Loss: 0.7833, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 18, Train Loss: 0.3831, Test Loss: 0.7849, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 19, Train Loss: 0.3698, Test Loss: 0.7869, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 20, Train Loss: 0.3544, Test Loss: 0.7864, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 21, Train Loss: 0.3683, Test Loss: 0.7838, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 22, Train Loss: 0.3117, Test Loss: 0.7917, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 23, Train Loss: 0.3518, Test Loss: 0.7915, Test Accuracy: 37.90%, Best Test Accuracy: 48.47%
Epoch 24, Train Loss: 0.3538, Test Loss: 0.7867, Test Accuracy: 37.97%, Best Test Accuracy: 48.47%
Epoch 25, Train Loss: 0.3299, Test Loss: 0.7858, Test Accuracy: 38.16%, Best Test Accuracy: 48.47%
Epoch 26, Train Loss: 0.3323, Test Loss: 0.7872, Test Accuracy: 38.76%, Best Test Accuracy: 48.47%
Epoch 27, Train Loss: 0.3249, Test Loss: 0.7861, Test Accuracy: 39.56%, Best Test Accuracy: 48.47%
Epoch 28, Train Loss: 0.3313, Test Loss: 0.7821, Test Accuracy: 40.82%, Best Test Accuracy: 48.47%
Epoch 29, Train Loss: 0.2923, Test Loss: 0.7839, Test Accuracy: 41.42%, Best Test Accuracy: 48.47%
Epoch 30, Train Loss: 0.2893, Test Loss: 0.7850, Test Accuracy: 42.09%, Best Test Accuracy: 48.47%
Epoch 31, Train Loss: 0.2578, Test Loss: 0.7882, Test Accuracy: 42.55%, Best Test Accuracy: 48.47%
Epoch 32, Train Loss: 0.2764, Test Loss: 0.7855, Test Accuracy: 44.15%, Best Test Accuracy: 48.47%
Epoch 33, Train Loss: 0.2522, Test Loss: 0.7879, Test Accuracy: 45.01%, Best Test Accuracy: 48.47%
Epoch 34, Train Loss: 0.2658, Test Loss: 0.7844, Test Accuracy: 47.14%, Best Test Accuracy: 48.47%
Epoch 35, Train Loss: 0.2604, Test Loss: 0.7830, Test Accuracy: 48.74%, Best Test Accuracy: 48.74%
Epoch 36, Train Loss: 0.2541, Test Loss: 0.7825, Test Accuracy: 49.87%, Best Test Accuracy: 49.87%
Epoch 37, Train Loss: 0.2650, Test Loss: 0.7806, Test Accuracy: 51.80%, Best Test Accuracy: 51.80%
Epoch 38, Train Loss: 0.2460, Test Loss: 0.7791, Test Accuracy: 52.99%, Best Test Accuracy: 52.99%
Epoch 39, Train Loss: 0.2411, Test Loss: 0.7801, Test Accuracy: 54.45%, Best Test Accuracy: 54.45%
Epoch 40, Train Loss: 0.2251, Test Loss: 0.7801, Test Accuracy: 55.72%, Best Test Accuracy: 55.72%
Epoch 41, Train Loss: 0.2508, Test Loss: 0.7767, Test Accuracy: 57.31%, Best Test Accuracy: 57.31%
Epoch 42, Train Loss: 0.2077, Test Loss: 0.7795, Test Accuracy: 57.58%, Best Test Accuracy: 57.58%
Epoch 43, Train Loss: 0.2431, Test Loss: 0.7773, Test Accuracy: 58.84%, Best Test Accuracy: 58.84%
Epoch 44, Train Loss: 0.2178, Test Loss: 0.7790, Test Accuracy: 59.24%, Best Test Accuracy: 59.24%
Epoch 45, Train Loss: 0.2030, Test Loss: 0.7799, Test Accuracy: 59.77%, Best Test Accuracy: 59.77%
Epoch 46, Train Loss: 0.2408, Test Loss: 0.7797, Test Accuracy: 60.31%, Best Test Accuracy: 60.31%
Epoch 47, Train Loss: 0.1915, Test Loss: 0.7793, Test Accuracy: 61.04%, Best Test Accuracy: 61.04%
Epoch 48, Train Loss: 0.2151, Test Loss: 0.7778, Test Accuracy: 61.84%, Best Test Accuracy: 61.84%
Epoch 49, Train Loss: 0.2149, Test Loss: 0.7765, Test Accuracy: 62.57%, Best Test Accuracy: 62.57%
Epoch 50, Train Loss: 0.2146, Test Loss: 0.7775, Test Accuracy: 62.83%, Best Test Accuracy: 62.83%
Epoch 51, Train Loss: 0.2046, Test Loss: 0.7781, Test Accuracy: 63.23%, Best Test Accuracy: 63.23%
Epoch 52, Train Loss: 0.2183, Test Loss: 0.7774, Test Accuracy: 63.70%, Best Test Accuracy: 63.70%
Epoch 53, Train Loss: 0.2149, Test Loss: 0.7749, Test Accuracy: 64.16%, Best Test Accuracy: 64.16%
Epoch 54, Train Loss: 0.2128, Test Loss: 0.7748, Test Accuracy: 64.23%, Best Test Accuracy: 64.23%
Epoch 55, Train Loss: 0.2066, Test Loss: 0.7745, Test Accuracy: 64.30%, Best Test Accuracy: 64.30%
Epoch 56, Train Loss: 0.1868, Test Loss: 0.7741, Test Accuracy: 64.76%, Best Test Accuracy: 64.76%
Epoch 57, Train Loss: 0.2162, Test Loss: 0.7712, Test Accuracy: 65.16%, Best Test Accuracy: 65.16%
Epoch 58, Train Loss: 0.1897, Test Loss: 0.7700, Test Accuracy: 65.43%, Best Test Accuracy: 65.43%
