Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/7726_mosi_05月17日_08时07分28秒.log
Config(version='For Mosi 7992', log_dir='../record', dropout_rate=0.7, batch_size=30, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 1, Train Loss: 0.6344, Test Loss: 0.7226, Test Accuracy: 40.89%, Best Test Accuracy: 40.89%
Epoch 2, Train Loss: 0.5629, Test Loss: 0.7221, Test Accuracy: 41.29%, Best Test Accuracy: 41.29%
Epoch 3, Train Loss: 0.4819, Test Loss: 0.7223, Test Accuracy: 43.15%, Best Test Accuracy: 43.15%
Epoch 4, Train Loss: 0.4778, Test Loss: 0.7187, Test Accuracy: 48.94%, Best Test Accuracy: 48.94%
Epoch 5, Train Loss: 0.4187, Test Loss: 0.7153, Test Accuracy: 55.52%, Best Test Accuracy: 55.52%
Epoch 6, Train Loss: 0.3964, Test Loss: 0.7056, Test Accuracy: 63.03%, Best Test Accuracy: 63.03%
Epoch 7, Train Loss: 0.3657, Test Loss: 0.6932, Test Accuracy: 66.76%, Best Test Accuracy: 66.76%
Epoch 8, Train Loss: 0.3156, Test Loss: 0.6779, Test Accuracy: 69.08%, Best Test Accuracy: 69.08%
Epoch 9, Train Loss: 0.2832, Test Loss: 0.6647, Test Accuracy: 70.21%, Best Test Accuracy: 70.21%
Epoch 10, Train Loss: 0.2303, Test Loss: 0.6547, Test Accuracy: 71.68%, Best Test Accuracy: 71.68%
Epoch 11, Train Loss: 0.1982, Test Loss: 0.6454, Test Accuracy: 72.14%, Best Test Accuracy: 72.14%
Epoch 12, Train Loss: 0.2194, Test Loss: 0.6388, Test Accuracy: 72.27%, Best Test Accuracy: 72.27%
Epoch 13, Train Loss: 0.1877, Test Loss: 0.6335, Test Accuracy: 72.81%, Best Test Accuracy: 72.81%
Epoch 14, Train Loss: 0.1918, Test Loss: 0.6333, Test Accuracy: 73.27%, Best Test Accuracy: 73.27%
Epoch 15, Train Loss: 0.1644, Test Loss: 0.6327, Test Accuracy: 73.27%, Best Test Accuracy: 73.27%
Epoch 16, Train Loss: 0.1675, Test Loss: 0.6363, Test Accuracy: 73.34%, Best Test Accuracy: 73.34%
Epoch 17, Train Loss: 0.1609, Test Loss: 0.6367, Test Accuracy: 73.34%, Best Test Accuracy: 73.34%
Epoch 18, Train Loss: 0.1612, Test Loss: 0.6381, Test Accuracy: 73.54%, Best Test Accuracy: 73.54%
Epoch 19, Train Loss: 0.1427, Test Loss: 0.6399, Test Accuracy: 73.60%, Best Test Accuracy: 73.60%
Epoch 20, Train Loss: 0.1654, Test Loss: 0.6408, Test Accuracy: 73.54%, Best Test Accuracy: 73.60%
Epoch 21, Train Loss: 0.1464, Test Loss: 0.6478, Test Accuracy: 73.27%, Best Test Accuracy: 73.60%
Epoch 22, Train Loss: 0.1593, Test Loss: 0.6496, Test Accuracy: 73.60%, Best Test Accuracy: 73.60%
Epoch 23, Train Loss: 0.1682, Test Loss: 0.6492, Test Accuracy: 73.80%, Best Test Accuracy: 73.80%
