Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/M_s_R_7992_05月17日_05时28分15秒.log
Config(version='For Mosi 7992', log_dir='../record', dropout_rate=0.7, batch_size=4, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 1, Train Loss: 1.7375, Test Loss: 0.7324, Test Accuracy: 49.47%, Best Test Accuracy: 49.47%
Epoch 2, Train Loss: 1.2057, Test Loss: 0.7185, Test Accuracy: 51.60%, Best Test Accuracy: 51.60%
Epoch 3, Train Loss: 1.1521, Test Loss: 0.7179, Test Accuracy: 49.80%, Best Test Accuracy: 51.60%
Epoch 4, Train Loss: 0.9529, Test Loss: 0.7179, Test Accuracy: 51.46%, Best Test Accuracy: 51.60%
Epoch 5, Train Loss: 0.8479, Test Loss: 0.7203, Test Accuracy: 49.67%, Best Test Accuracy: 51.60%
Epoch 6, Train Loss: 0.8335, Test Loss: 0.7190, Test Accuracy: 50.13%, Best Test Accuracy: 51.60%
Epoch 7, Train Loss: 0.8320, Test Loss: 0.7176, Test Accuracy: 50.80%, Best Test Accuracy: 51.60%
Epoch 8, Train Loss: 0.7575, Test Loss: 0.7163, Test Accuracy: 51.60%, Best Test Accuracy: 51.60%
Epoch 9, Train Loss: 0.8067, Test Loss: 0.7191, Test Accuracy: 50.53%, Best Test Accuracy: 51.60%
Epoch 10, Train Loss: 0.8629, Test Loss: 0.7242, Test Accuracy: 50.60%, Best Test Accuracy: 51.60%
Epoch 11, Train Loss: 0.7765, Test Loss: 0.7218, Test Accuracy: 49.80%, Best Test Accuracy: 51.60%
Epoch 12, Train Loss: 0.7425, Test Loss: 0.7186, Test Accuracy: 51.33%, Best Test Accuracy: 51.60%
Epoch 13, Train Loss: 0.8066, Test Loss: 0.7131, Test Accuracy: 51.53%, Best Test Accuracy: 51.60%
Epoch 14, Train Loss: 0.7670, Test Loss: 0.7091, Test Accuracy: 50.93%, Best Test Accuracy: 51.60%
Epoch 15, Train Loss: 0.6778, Test Loss: 0.7127, Test Accuracy: 51.20%, Best Test Accuracy: 51.60%
Epoch 16, Train Loss: 0.6822, Test Loss: 0.7137, Test Accuracy: 52.19%, Best Test Accuracy: 52.19%
Epoch 17, Train Loss: 0.6542, Test Loss: 0.7117, Test Accuracy: 52.99%, Best Test Accuracy: 52.99%
Epoch 18, Train Loss: 0.6989, Test Loss: 0.7099, Test Accuracy: 53.32%, Best Test Accuracy: 53.32%
Epoch 19, Train Loss: 0.7150, Test Loss: 0.7140, Test Accuracy: 52.53%, Best Test Accuracy: 53.32%
Epoch 20, Train Loss: 0.6851, Test Loss: 0.7128, Test Accuracy: 52.79%, Best Test Accuracy: 53.32%
Epoch 21, Train Loss: 0.6116, Test Loss: 0.7139, Test Accuracy: 52.86%, Best Test Accuracy: 53.32%
Epoch 22, Train Loss: 0.6852, Test Loss: 0.7170, Test Accuracy: 50.33%, Best Test Accuracy: 53.32%
Epoch 23, Train Loss: 0.6936, Test Loss: 0.7075, Test Accuracy: 54.06%, Best Test Accuracy: 54.06%
Epoch 24, Train Loss: 0.6679, Test Loss: 0.7080, Test Accuracy: 53.92%, Best Test Accuracy: 54.06%
Epoch 25, Train Loss: 0.6254, Test Loss: 0.7105, Test Accuracy: 53.59%, Best Test Accuracy: 54.06%
Epoch 26, Train Loss: 0.6513, Test Loss: 0.7163, Test Accuracy: 52.53%, Best Test Accuracy: 54.06%
Epoch 27, Train Loss: 0.6631, Test Loss: 0.7112, Test Accuracy: 54.19%, Best Test Accuracy: 54.19%
Epoch 28, Train Loss: 0.6646, Test Loss: 0.7034, Test Accuracy: 55.25%, Best Test Accuracy: 55.25%
Epoch 29, Train Loss: 0.6003, Test Loss: 0.7049, Test Accuracy: 55.59%, Best Test Accuracy: 55.59%
Epoch 30, Train Loss: 0.6024, Test Loss: 0.7072, Test Accuracy: 55.25%, Best Test Accuracy: 55.59%
Epoch 31, Train Loss: 0.6088, Test Loss: 0.7069, Test Accuracy: 55.12%, Best Test Accuracy: 55.59%
Epoch 32, Train Loss: 0.5825, Test Loss: 0.7096, Test Accuracy: 53.72%, Best Test Accuracy: 55.59%
Epoch 33, Train Loss: 0.5631, Test Loss: 0.7031, Test Accuracy: 55.72%, Best Test Accuracy: 55.72%
Epoch 34, Train Loss: 0.5637, Test Loss: 0.7023, Test Accuracy: 55.59%, Best Test Accuracy: 55.72%
Epoch 35, Train Loss: 0.5270, Test Loss: 0.7023, Test Accuracy: 55.59%, Best Test Accuracy: 55.72%
Epoch 36, Train Loss: 0.5378, Test Loss: 0.7019, Test Accuracy: 55.32%, Best Test Accuracy: 55.72%
