Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/Mamba_s_r_05月17日_05时24分21秒.log
Config(version='For Mosi 7992', log_dir='../record', dropout_rate=0.7, batch_size=4, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
这他吗什么调残小技巧？是否在init初始化某一层，但不再foward里使用居然这么数据差别这么大？
Epoch 1, Train Loss: 1.7597, Test Loss: 0.8056, Test Accuracy: 38.43%, Best Test Accuracy: 38.43%
Epoch 2, Train Loss: 1.2222, Test Loss: 0.7496, Test Accuracy: 40.09%, Best Test Accuracy: 40.09%
Epoch 3, Train Loss: 1.0809, Test Loss: 0.7576, Test Accuracy: 40.76%, Best Test Accuracy: 40.76%
Epoch 4, Train Loss: 1.0056, Test Loss: 0.7527, Test Accuracy: 40.16%, Best Test Accuracy: 40.76%
Epoch 5, Train Loss: 0.8307, Test Loss: 0.7463, Test Accuracy: 40.76%, Best Test Accuracy: 40.76%
Epoch 6, Train Loss: 0.9025, Test Loss: 0.7507, Test Accuracy: 39.56%, Best Test Accuracy: 40.76%
Epoch 7, Train Loss: 0.9020, Test Loss: 0.7379, Test Accuracy: 39.63%, Best Test Accuracy: 40.76%
Epoch 8, Train Loss: 0.9013, Test Loss: 0.7471, Test Accuracy: 40.49%, Best Test Accuracy: 40.76%
Epoch 9, Train Loss: 0.8688, Test Loss: 0.7573, Test Accuracy: 39.63%, Best Test Accuracy: 40.76%
Epoch 10, Train Loss: 0.8462, Test Loss: 0.7222, Test Accuracy: 43.68%, Best Test Accuracy: 43.68%
Epoch 11, Train Loss: 0.7443, Test Loss: 0.7312, Test Accuracy: 43.68%, Best Test Accuracy: 43.68%
Epoch 12, Train Loss: 0.7566, Test Loss: 0.7291, Test Accuracy: 43.68%, Best Test Accuracy: 43.68%
Epoch 13, Train Loss: 0.6915, Test Loss: 0.7317, Test Accuracy: 43.62%, Best Test Accuracy: 43.68%
Epoch 14, Train Loss: 0.7106, Test Loss: 0.7359, Test Accuracy: 43.09%, Best Test Accuracy: 43.68%
Epoch 15, Train Loss: 0.6626, Test Loss: 0.7302, Test Accuracy: 43.75%, Best Test Accuracy: 43.75%
Epoch 16, Train Loss: 0.7297, Test Loss: 0.7539, Test Accuracy: 41.22%, Best Test Accuracy: 43.75%
Epoch 17, Train Loss: 0.6926, Test Loss: 0.7303, Test Accuracy: 43.75%, Best Test Accuracy: 43.75%
Epoch 18, Train Loss: 0.7008, Test Loss: 0.7345, Test Accuracy: 43.82%, Best Test Accuracy: 43.82%
Epoch 19, Train Loss: 0.6808, Test Loss: 0.7870, Test Accuracy: 40.09%, Best Test Accuracy: 43.82%
Epoch 20, Train Loss: 0.9845, Test Loss: 0.7451, Test Accuracy: 42.62%, Best Test Accuracy: 43.82%
Epoch 21, Train Loss: 0.8098, Test Loss: 0.7288, Test Accuracy: 45.48%, Best Test Accuracy: 45.48%
Epoch 22, Train Loss: 0.6901, Test Loss: 0.7207, Test Accuracy: 46.54%, Best Test Accuracy: 46.54%
Epoch 23, Train Loss: 0.6629, Test Loss: 0.7161, Test Accuracy: 46.21%, Best Test Accuracy: 46.54%
Epoch 24, Train Loss: 0.5869, Test Loss: 0.7160, Test Accuracy: 46.14%, Best Test Accuracy: 46.54%
Epoch 25, Train Loss: 0.6819, Test Loss: 0.7137, Test Accuracy: 46.74%, Best Test Accuracy: 46.74%
Epoch 26, Train Loss: 0.5997, Test Loss: 0.7111, Test Accuracy: 47.87%, Best Test Accuracy: 47.87%
Epoch 27, Train Loss: 0.6755, Test Loss: 0.7096, Test Accuracy: 48.01%, Best Test Accuracy: 48.01%
Epoch 28, Train Loss: 0.6063, Test Loss: 0.7108, Test Accuracy: 47.87%, Best Test Accuracy: 48.01%
Epoch 29, Train Loss: 0.6203, Test Loss: 0.7101, Test Accuracy: 48.27%, Best Test Accuracy: 48.27%
Epoch 30, Train Loss: 0.6227, Test Loss: 0.7193, Test Accuracy: 46.88%, Best Test Accuracy: 48.27%
Epoch 31, Train Loss: 0.6499, Test Loss: 0.7159, Test Accuracy: 47.47%, Best Test Accuracy: 48.27%
Epoch 32, Train Loss: 0.6230, Test Loss: 0.7109, Test Accuracy: 48.34%, Best Test Accuracy: 48.34%
Epoch 33, Train Loss: 0.5983, Test Loss: 0.7086, Test Accuracy: 50.47%, Best Test Accuracy: 50.47%
Epoch 34, Train Loss: 0.5801, Test Loss: 0.7100, Test Accuracy: 50.00%, Best Test Accuracy: 50.47%
Epoch 35, Train Loss: 0.5907, Test Loss: 0.7092, Test Accuracy: 51.00%, Best Test Accuracy: 51.00%
Epoch 36, Train Loss: 0.5344, Test Loss: 0.7154, Test Accuracy: 50.60%, Best Test Accuracy: 51.00%
Epoch 37, Train Loss: 0.5980, Test Loss: 0.7142, Test Accuracy: 50.13%, Best Test Accuracy: 51.00%
Epoch 38, Train Loss: 0.5968, Test Loss: 0.7150, Test Accuracy: 50.66%, Best Test Accuracy: 51.00%
Epoch 39, Train Loss: 0.5850, Test Loss: 0.7150, Test Accuracy: 51.06%, Best Test Accuracy: 51.06%
Epoch 40, Train Loss: 0.5690, Test Loss: 0.7099, Test Accuracy: 51.00%, Best Test Accuracy: 51.06%
Epoch 41, Train Loss: 0.5270, Test Loss: 0.7119, Test Accuracy: 50.86%, Best Test Accuracy: 51.06%
Epoch 42, Train Loss: 0.5515, Test Loss: 0.7130, Test Accuracy: 50.86%, Best Test Accuracy: 51.06%
Epoch 43, Train Loss: 0.5293, Test Loss: 0.7135, Test Accuracy: 51.40%, Best Test Accuracy: 51.40%
Epoch 44, Train Loss: 0.5705, Test Loss: 0.7139, Test Accuracy: 51.06%, Best Test Accuracy: 51.40%
Epoch 45, Train Loss: 0.5196, Test Loss: 0.7142, Test Accuracy: 51.00%, Best Test Accuracy: 51.40%
Epoch 46, Train Loss: 0.5479, Test Loss: 0.7094, Test Accuracy: 50.80%, Best Test Accuracy: 51.40%
Epoch 47, Train Loss: 0.6455, Test Loss: 0.7084, Test Accuracy: 51.86%, Best Test Accuracy: 51.86%
Epoch 48, Train Loss: 0.5201, Test Loss: 0.7095, Test Accuracy: 51.99%, Best Test Accuracy: 51.99%
Epoch 49, Train Loss: 0.4933, Test Loss: 0.7107, Test Accuracy: 51.40%, Best Test Accuracy: 51.99%
Epoch 50, Train Loss: 0.4987, Test Loss: 0.7093, Test Accuracy: 52.13%, Best Test Accuracy: 52.13%
Epoch 51, Train Loss: 0.4988, Test Loss: 0.7104, Test Accuracy: 51.80%, Best Test Accuracy: 52.13%
Epoch 52, Train Loss: 0.5701, Test Loss: 0.7097, Test Accuracy: 52.33%, Best Test Accuracy: 52.33%
Epoch 53, Train Loss: 0.4839, Test Loss: 0.7089, Test Accuracy: 52.39%, Best Test Accuracy: 52.39%
Epoch 54, Train Loss: 0.5293, Test Loss: 0.7085, Test Accuracy: 52.66%, Best Test Accuracy: 52.66%
Epoch 55, Train Loss: 0.4829, Test Loss: 0.7085, Test Accuracy: 52.86%, Best Test Accuracy: 52.86%
Epoch 56, Train Loss: 0.4661, Test Loss: 0.7097, Test Accuracy: 52.06%, Best Test Accuracy: 52.86%
Epoch 57, Train Loss: 0.5137, Test Loss: 0.7086, Test Accuracy: 53.19%, Best Test Accuracy: 53.19%
Epoch 58, Train Loss: 0.4776, Test Loss: 0.7114, Test Accuracy: 52.26%, Best Test Accuracy: 53.19%
